@relation "cscott_dsarkimg"

@attribute attr0 string
@attribute relation {'cscott', 'dsarkimg'}
@attribute class {'http://www.infocom.net/~dsarkozi/gallery/wilson.htm', 'http://www.infocom.net/~dsarkozi/gallery/whi-ibis.htm', 'http://www.infocom.net/~dsarkozi/gallery/wodstork.htm', 'http://www.infocom.net/~dsarkozi/gallery/rckinglt.htm', 'http://www.infocom.net/~dsarkozi/gallery/snipe.htm', 'http://www.infocom.net/~dsarkozi/gallery/bnstilt.htm', 'http://www.infocom.net/~dsarkozi/gallery/purgalli.htm', 'http://www.infocom.net/~dsarkozi/gallery/glossy.htm', 'http://www.infocom.net/~dsarkozi/gallery/grblue.htm', 'http://www.infocom.net/~dsarkozi/gallery/avocet.htm', 'http://www.infocom.net/~dsarkozi/gallery/lbittern.htm', 'http://www.infocom.net/~dsarkozi/gallery/scissor.htm', 'http://www.infocom.net/~dsarkozi/gallery/shrike.htm', 'http://www.infocom.net/~dsarkozi/gallery/clapper.htm', 'http://www.infocom.net/~dsarkozi/gallery/gyelleg.htm', 'http://www.infocom.net/~dsarkozi/gallery/incadove.htm', 'http://www.infocom.net/~dsarkozi/gallery/chickade.htm', 'http://www.infocom.net/~dsarkozi/gallery/maskboob.htm', 'http://www.infocom.net/~dsarkozi/gallery/blkbelly.htm', 'http://www.infocom.net/~dsarkozi/gallery/redegret.htm', 'http://www.infocom.net/~dsarkozi/gallery/barnowl.htm', 'http://www.infocom.net/~dsarkozi/gallery/wtkite.htm', 'http://www.infocom.net/~dsarkozi/gallery/ambitter.htm'}

@data
"Chickadee: Carolina", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/chickade.htm'
"Dove: Inca", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/incadove.htm'
"Egret: Reddish  Egretta rufescens", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/redegret.htm'
"Heron: Great blue (Grand HÅÈron)  Ardea herodias", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/grblue.htm'
"Ibis: Glossy", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/glossy.htm'
"Ibis: White Ibis (Ibis blanc)  Eudocimus albus", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/whi-ibis.htm'
"Kinglet: Ruby-crowned  Regulus calendula", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/rckinglt.htm'
"Owl: Barn", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/barnowl.htm'
"Plover: Wilson's", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/wilson.htm'
"Avocet, American (Avocette d'Amerique) :   Recurvirostra americana", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/avocet.htm'
"Bittern, American (Butor d'AmÅÈrique) :   Botaurus lentiginosus", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/ambitter.htm'
"Booby, Masked :", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/maskboob.htm'
"Gallinule, Purple :   Porphyrula martinica", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/purgalli.htm'
"Snipe, Common  (Becassine des marais) :   Gallinago gallinago", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/snipe.htm'
"Dendrocygna autumnalis  :", 'cscott', 'http://www.infocom.net/~dsarkozi/gallery/blkbelly.htm'
"Masked Booby", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/maskboob.htm'
"Wood Stork", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/wodstork.htm'
"White Ibis", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/whi-ibis.htm'
"Glossy Ibis", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/glossy.htm'
"American Bittern", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/ambitter.htm'
"Least Bittern", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/lbittern.htm'
"Great Blue Heron", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/grblue.htm'
"Reddish Egret", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/redegret.htm'
"Black-bellied Whistling-Duck", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/blkbelly.htm'
"White-tailed Kite", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/wtkite.htm'
"Black-necked Stilt", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/bnstilt.htm'
"Greater Yellowlegs", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/gyelleg.htm'
"Wilson's Plover", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/wilson.htm'
"Common Snipe", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/snipe.htm'
"American Avocet", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/avocet.htm'
"Clapper Rail", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/clapper.htm'
"Purple Gallinule", 'dsarkimg', 'http://www.infocom.net/~dsarkozi/gallery/purgalli.htm'
