@relation "newsweek_demox"

@attribute attr0 string
@attribute relation {'newsweek', 'demox'}
@attribute class {'ID790', 'ID791', 'ID792', 'ID793', 'ID794', 'ID795', 'ID796', 'ID60', 'ID797', 'ID61', 'ID798', 'ID62', 'ID799', 'msbearth', 'ID63', 'ID64', 'ID65', 'ID66', 'ID67', 'puttputtmoon puttputtparade', 'mariotype', 'ID68', 'ID69', 'chillmanor', 'ID70', 'ID71', 'ID72', 'ID73', 'ID74', 'ID75', 'ID76', 'ID77', 'webworkshop', 'ID78', 'ID79', 'ID80', 'ID81', 'ID82', 'ID83', 'ID84', 'ID85', 'ID86', 'ID87', 'ID88', 'ID89', 'sailormoon', 'pajamasam', 'ID90', 'ID91', 'ID92', 'ID93', 'ID94', 'ID95', 'ID96', 'ID97', 'ID98', 'ID99', 'msbsolar', 'musicace', 'hyperstudio', 'creativewriter', 'greeneggs', 'pirateship', 'puttputtzoo', 'fattybearbday', 'timelapse', 'freddifish2', 'immeen', 'ID100', 'ID101', 'ID102', 'ID103', 'ID104', 'ID105', 'ID106', 'gryphonbricks', 'ID107', 'ID108', 'ID109', 'ID110', 'ID111', 'ID112', 'ID113', 'ID114', 'ID115', 'ID116', 'ID117', 'puttputtparade', 'ID118', 'ID119', 'catz', 'ID200', 'ID120', 'ID201', 'ID121', 'ID202', 'ID122', 'ID203', 'ID123', 'ID204', 'ID124', 'ID205', 'ID125', 'ID206', 'ID126', 'ID207', 'ID127', 'ID208', 'ID128', 'ID209', 'ID129', 'msbrain', 'waldogeo', 'ID210', 'ID130', 'ID211', 'ID131', 'ID212', 'ID132', 'ID213', 'ID133', 'ID214', 'ID134', 'ID215', 'ID135', 'ID216', 'ID136', 'ID217', 'ID137', 'ID218', 'ID138', 'ID219', 'ID139', 'simpsoncartoon', 'ID300', 'ID301', 'ID220', 'ID302', 'ID221', 'ID140', 'ID303', 'ID222', 'ID141', 'ID304', 'ID223', 'ID142', 'ID305', 'ID224', 'ID143', 'ID306', 'ID225', 'ID144', 'ID307', 'ID226', 'ID145', 'ID308', 'ID227', 'ID146', 'ID309', 'ID228', 'ID147', 'ID229', 'ID148', 'ID149', 'seussabc', 'ID310', 'ID230', 'ID311', 'ID150', 'ID231', 'ID312', 'ID151', 'ID232', 'ID313', 'ID152', 'ID233', 'ID314', 'ID153', 'ID234', 'ID315', 'ID154', 'ID235', 'ID316', 'ID155', 'ID236', 'ID317', 'ID156', 'ID237', 'ID318', 'ID157', 'ID238', 'ID319', 'ID158', 'ID239', 'ID159', 'ID400', 'ID320', 'ID401', 'ID240', 'ID321', 'ID402', 'ID160', 'ID241', 'ID322', 'ID403', 'ID161', 'ID242', 'ID323', 'ID404', 'ID162', 'ID243', 'ID324', 'ID405', 'ID163', 'ID244', 'ID325', 'ID406', 'ID164', 'ID245', 'ID326', 'ID407', 'ID165', 'ID246', 'ID327', 'ID408', 'ID166', 'ID247', 'ID328', 'ID409', 'ID167', 'ID248', 'ID329', 'ID168', 'ID249', 'ID169', '3dmovie', 'ID410', 'ID330', 'ID411', 'ID250', 'ID331', 'ID412', 'ID170', 'ID251', 'ID332', 'ID413', 'ID171', 'ID252', 'ID333', 'ID414', 'ID172', 'ID253', 'ID334', 'ID415', 'ID173', 'ID254', 'ID335', 'ID416', 'ID174', 'ID255', 'ID336', 'ID417', 'ID175', 'ID256', 'ID337', 'ID418', 'ID176', 'ID257', 'ID338', 'ID419', 'ID177', 'ID258', 'ID339', 'ID178', 'ID259', 'ID179', 'toyland', 'ID500', 'ID501', 'ID420', 'ID502', 'ID340', 'ID421', 'ID503', 'ID260', 'ID341', 'ID422', 'ID504', 'colorforms', 'ID180', 'ID261', 'ID342', 'ID423', 'ID505', 'ID181', 'ID262', 'ID343', 'ID424', 'ID506', 'ID182', 'ID263', 'ID344', 'ID425', 'ID507', 'ID183', 'ID264', 'ID345', 'ID426', 'ID508', 'ID184', 'ID265', 'ID346', 'ID427', 'ID509', 'ID185', 'ID266', 'ID347', 'ID428', 'ID186', 'ID267', 'ID348', 'ID429', 'ID187', 'ID268', 'ID349', 'ID188', 'ID269', 'ID189', 'ID510', 'ID511', 'ID430', 'ID512', 'ID350', 'ID431', 'ID513', 'ID270', 'ID351', 'ID432', 'ID514', 'ID190', 'ID271', 'ID352', 'ID433', 'ID515', 'ID191', 'ID272', 'ID353', 'ID434', 'ID516', 'ID192', 'ID273', 'ID354', 'ID435', 'ID517', 'ID193', 'ID274', 'ID355', 'ID436', 'ID518', 'ID194', 'ID275', 'ID356', 'ID437', 'ID519', 'ID195', 'ID276', 'ID357', 'ID438', 'ID196', 'ID277', 'ID358', 'ID439', 'ID197', 'ID278', 'ID359', 'ID198', 'ID279', 'msbbody', 'ID199', 'whatsecret', 'msbearth msbdino msbsolar msbrain msbbody', 'ID600', 'ID601', 'ID520', 'freddifishkelp', 'ID602', 'ID521', 'ID440', 'ID603', 'ID522', 'ID360', 'ID441', 'ID604', 'ID523', 'ID280', 'ID361', 'ID442', 'ID605', 'ID524', 'ID281', 'ID362', 'ID443', 'ID606', 'ID525', 'ID282', 'ID363', 'ID444', 'ID607', 'ID526', 'ID283', 'ID364', 'ID445', 'ID608', 'ID527', 'ID284', 'ID365', 'ID446', 'ID609', 'ID528', 'ID285', 'ID366', 'ID447', 'ID529', 'ID286', 'ID367', 'ID448', 'ID287', 'ID368', 'ID449', 'ID288', 'ID369', 'ID289', 'ID610', 'ID611', 'ID530', 'ID612', 'ID531', 'ID450', 'ID613', 'ID532', 'ID370', 'ID451', 'ID614', 'ID533', 'ID290', 'ID371', 'ID452', 'ID615', 'ID534', 'ID291', 'ID372', 'ID453', 'ID616', 'ID535', 'ID292', 'ID373', 'ID454', 'ID617', 'ID536', 'ID293', 'ID374', 'ID455', 'ID618', 'ID537', 'ID294', 'ID375', 'ID456', 'ID619', 'ID538', 'ID295', 'ID376', 'ID457', 'ID539', 'ID296', 'ID377', 'ID458', 'ID297', 'ID378', 'ID459', 'ID298', 'ID379', 'ID299', 'puttputtmoon', 'ID700', 'ID701', 'ID620', 'ID702', 'ID621', 'ID540', 'ID703', 'ID622', 'ID541', 'ID460', 'ID704', 'ID623', 'ID542', 'ID380', 'ID461', 'ID705', 'ID624', 'ID543', 'ID381', 'ID462', 'ID706', 'ID625', 'ID544', 'ID382', 'ID463', 'ID707', 'ID626', 'ID545', 'ID383', 'ID464', 'ID708', 'ID627', 'ID546', 'authursbday', 'ID384', 'ID465', 'ID709', 'ID628', 'ID547', 'ID385', 'ID466', 'ID629', 'ID548', 'ID386', 'ID467', 'ID549', 'ID387', 'ID468', 'ID388', 'ID469', 'ID389', 'magic3d', 'ID710', 'ID711', 'ID630', 'ID712', 'ID631', 'ID550', 'ID713', 'ID632', 'ID551', 'rayman', 'ID470', 'ID714', 'ID633', 'ID552', 'ID390', 'ID471', 'ID715', 'ID634', 'ID553', 'staytooned', 'ID391', 'ID472', 'ID716', 'ID635', 'ID554', 'ID392', 'ID473', 'ID717', 'ID636', 'ID555', 'msbdino', 'ID393', 'ID474', 'ID718', 'ID637', 'ID556', 'ID394', 'ID475', 'ID719', 'ID638', 'ID557', 'ID395', 'ID476', 'ID639', 'ID558', 'ID396', 'ID477', 'ID559', 'ID397', 'ID478', 'ID398', 'ID479', 'ID399', 'superradio', 'ID800', 'ID801', 'ID720', 'ID802', 'ID721', 'ID640', 'ID803', 'ID722', 'ID641', 'ID560', 'ID804', 'ID723', 'ID642', 'ID561', 'ID480', 'ID805', 'ID724', 'ID643', 'ID562', 'ID481', 'ID806', 'ID725', 'ID644', 'ID563', 'ID482', 'ID807', 'ID726', 'ID645', 'ID564', 'ID483', 'ID808', 'ID727', 'ID646', 'ID565', 'ID484', 'ID809', 'ID728', 'ID647', 'ID566', 'ID485', 'ID729', 'ID648', 'ID567', 'ID486', 'ID649', 'ID568', 'ID487', 'ID569', 'ID488', 'ID489', 'monstermaker', 'ID810', 'ID811', 'ID730', 'ID731', 'ID650', 'ID732', 'ID651', 'ID570', 'menlofrog', 'ID733', 'ID652', 'ID571', 'ID490', 'ID734', 'ID653', 'ID572', 'ID491', 'ID735', 'ID654', 'ID573', 'ID492', 'ID736', 'ID655', 'ID574', 'ID493', 'ID737', 'ID656', 'ID575', 'ID494', 'ID738', 'ID657', 'ID576', 'ID495', 'ID739', 'ID658', 'ID577', 'ID496', 'ID659', 'ID578', 'ID497', 'ID579', 'ID498', 'ID499', 'tortoisehare', 'incrediblemachine', 'ID740', 'ID741', 'ID660', 'ID742', 'ID661', 'ID580', 'ID743', 'ID662', 'ID581', 'ID744', 'ID663', 'ID582', 'ID745', 'ID664', 'ID583', 'ID746', 'ID665', 'ID584', 'ID10', 'ID747', 'ID666', 'ID585', 'ID11', 'ID748', 'ID667', 'ID586', 'ID12', 'ID749', 'ID668', 'ID587', 'ID13', 'ID669', 'ID588', 'ID14', 'ID589', 'ID15', 'ID16', 'ID17', 'ID18', 'ID19', 'ID0', 'ID1', 'ID2', 'ID3', 'ID4', 'ID5', 'ID6', 'ID7', 'ID8', 'ID9', 'ID750', 'ID751', 'ID670', 'ID752', 'ID671', 'ID590', 'ID753', 'ID672', 'ID591', 'ID754', 'ID673', 'ID592', 'ID755', 'ID674', 'ID593', 'ID756', 'ID675', 'ID594', 'ID20', 'ID757', 'ID676', 'ID595', 'ID21', 'ID758', 'ID677', 'ID596', 'ID22', 'ID759', 'ID678', 'ID597', 'ID23', 'ID679', 'ID598', 'ID24', 'ID599', 'ID25', 'ID26', 'ID27', 'ID28', 'ID29', 'zurkalaska', 'martycheese', 'zurksafari', 'ID760', 'ID761', 'ID680', 'ID762', 'ID681', 'ID763', 'ID682', 'ID764', 'ID683', 'ID765', 'ID684', 'ID766', 'ID685', 'ID30', 'ID767', 'ID686', 'ID31', 'ID768', 'ID687', 'ID32', 'ID769', 'ID688', 'ID33', 'ID689', 'ID34', 'ID35', 'ID36', 'ID37', 'ID38', 'ID39', 'countfrank', 'ID770', 'ID771', 'ID690', 'ID772', 'ID691', 'ID773', 'ID692', 'ID774', 'ID693', 'ID775', 'ID694', 'ID776', 'ID695', 'ID40', 'ID777', 'ID696', 'ID41', 'ID778', 'ID697', 'ID42', 'ID779', 'ID698', 'dogz', 'ID43', 'ID699', 'ID44', 'ID45', 'ID46', 'ID47', 'ID48', 'ID49', 'magicwardobe', 'ID780', 'ID781', 'ID782', 'ID783', 'ID784', 'ID785', 'ID786', 'ID50', 'ID787', 'ID51', 'ID788', 'ID52', 'ID789', 'ID53', 'ID54', 'ID55', 'ID56', 'ID57', 'ID58', 'ID59', 'lemmings'}

@data
"The Great Word Adventure Demo starring Howie Mandel", 'demox', 'ID0'
"Mission to Planet X: Internet Coach", 'demox', 'ID1'
"Printertainment Software", 'demox', 'ID2'
"Zoombinis Mudball Wall Demo", 'demox', 'ID3'
"Goldilocks Gamebook", 'demox', 'ID4'
"Kids World.", 'demox', 'ID5'
"Castle Infinity", 'demox', 'ID6'
"Super Radio Addition with Mike and Spike", 'demox', 'superradio'
"Phonics Adventure with Sing Along Sam", 'demox', 'ID7'
"Counting on Frank", 'demox', 'countfrank'
"Madeline's Know Europe Game", 'demox', 'ID8'
"Schoolhouse Rock: Know Your States", 'demox', 'ID9'
"Lucky's Water Balloons", 'demox', 'ID10'
"Eat My Dust", 'demox', 'ID11'
"PilgrimQuest", 'demox', 'ID12'
"Science Grade 6", 'demox', 'ID13'
"Earthworm Jim", 'demox', 'ID14'
"Space Kids!", 'demox', 'ID15'
"Simpsons Cartoon Studio", 'demox', 'simpsoncartoon'
"Stay Tooned", 'demox', 'staytooned'
"Fisher Price's Pirate Ship", 'demox', 'pirateship'
"Learning in Toyland", 'demox', 'toyland'
"Stayed Tooned", 'demox', 'staytooned'
"Gryphon Bricks", 'demox', 'gryphonbricks'
"Colorforms Computer Fun Set - Power Rangers", 'demox', 'colorforms'
"Sailor Moon", 'demox', 'sailormoon'
"Gryphon Bricks", 'demox', 'gryphonbricks'
"Timelapse", 'demox', 'timelapse'
"Titanic", 'demox', 'ID16'
"NCAA Basketball", 'demox', 'ID17'
"FX Fighter Turbo", 'demox', 'ID18'
"Music Ace", 'demox', 'musicace'
"Pajama Sam in There's No Need to Hide When It's Dark Outside", 'demox', 'pajamasam'
"Freddi Fish 2: The Case of the Haunted Schoolhouse", 'demox', 'freddifish2'
"Freddi Fish and the Case of the Missing Kelp Seeds", 'demox', 'freddifishkelp'
"Putt-Putt Saves the Zoo", 'demox', 'puttputtzoo'
"Magic Wardrobe", 'demox', 'magicwardobe'
"Magic 3-D Coloring Book", 'demox', 'magic3d'
"What's The Secret? Volume 1", 'demox', 'whatsecret'
"Awesome Animated Monster Maker", 'demox', 'monstermaker'
"Color Me Fun", 'demox', 'ID19'
"Color Me Fun", 'demox', 'ID20'
"Inspiration Education Edition", 'demox', 'ID21'
"Mario Teaches Typing", 'demox', 'mariotype'
"Green Eggs and Ham", 'demox', 'greeneggs'
"Arthur's Birthday", 'demox', 'authursbday'
"The Tortoise and the Hare", 'demox', 'tortoisehare'
"Marios Game Gallery", 'demox', 'ID22'
"Mario Teaches Typing", 'demox', 'mariotype'
"Magic Theatre", 'demox', 'ID23'
"Haunted House", 'demox', 'ID24'
"Sim Earth", 'demox', 'ID25'
"Sim City", 'demox', 'ID26'
"Sim Earth", 'demox', 'ID27'
"Marty and the Trouble with Cheese", 'demox', 'martycheese'
"Tesselmania", 'demox', 'ID28'
"Nickelodeon 3D Movie Maker", 'demox', 'ID29'
"3-D Movie Maker", 'demox', '3dmovie'
"Magic School Bus", 'demox', 'msbearth msbdino msbsolar msbrain msbbody'
"Creative Writer", 'demox', 'creativewriter'
"NBA Full Court Press", 'demox', 'ID30'
"Microsoft Golf 3.0", 'demox', 'ID31'
"Monster Truck Madness", 'demox', 'ID32'
"Return of Arcade: Pac-Man", 'demox', 'ID33'
"Art for Kids", 'demox', 'ID34'
"Foo Castle", 'demox', 'ID35'
"Alfoobet", 'demox', 'ID36'
"123 Foo", 'demox', 'ID37'
"PF Magic", 'demox', 'ID38'
"Dogz", 'demox', 'dogz'
"Catz", 'demox', 'catz'
"Oddballs", 'demox', 'ID39'
"Lemmings Paintball", 'demox', 'lemmings'
"Bad Mojo", 'demox', 'ID40'
"Bug", 'demox', 'ID41'
"Baku Baku", 'demox', 'ID42'
"Sonic CD", 'demox', 'ID43'
"Sonic and Knuckles", 'demox', 'ID44'
"Dr. Seuss's ABC", 'demox', 'seussabc'
"Talking Stories", 'demox', 'ID45'
"Ridiculous Rhymes", 'demox', 'ID46'
"3-D Ultra Pinball", 'demox', 'ID47'
"The Incredible Machine", 'demox', 'incrediblemachine'
"3-D Action Learning", 'demox', 'ID48'
"Chill Manor", 'demox', 'chillmanor'
"Spaceship Pythagoras", 'demox', 'ID49'
"I.M. Meen", 'demox', 'immeen'
"I.M. Meen", 'demox', 'immeen'
"Zurk's Learning Safari", 'demox', 'zurksafari'
"Zurk's Rainforest Lab", 'demox', 'ID50'
"Zurk's Alaskan Trek", 'demox', 'zurkalaska'
"World Walker", 'demox', 'ID51'
"Loony Labyrinth Pinball", 'demox', 'ID52'
"Crystal Caliburn Pinball", 'demox', 'ID53'
"Alley 19", 'demox', 'ID54'
"Let's Color", 'demox', 'ID55'
"Amazing Learning Games with Rayman", 'demox', 'rayman'
"Where's Waldo at the Circus", 'demox', 'ID56'
"Where's Waldo? Exploring Geography", 'demox', 'waldogeo'
"Clam Game", 'demox', 'ID57'
"Menlo the Frog", 'demox', 'menlofrog'
"Pajama Sam in No Need to Hide When it's Dark Outside", 'demox', 'pajamasam'
"Freddi Fish 2: The Case of the Haunted Schoolhouse", 'demox', 'freddifish2'
"Freddi Fish and the Case of the Missing Kelp Seeds", 'demox', 'freddifishkelp'
"Putt-Putt Saves the Zoo", 'demox', 'puttputtzoo'
"Let's Explore the Airport", 'demox', 'ID58'
"Putt Putt", 'demox', 'puttputtmoon puttputtparade'
"Fatty Bear", 'demox', 'fattybearbday'
"Digital Chisel", 'demox', 'ID59'
"ColorIt!", 'demox', 'ID60'
"Digital Chisel", 'demox', 'ID61'
"HyperStudio", 'demox', 'hyperstudio'
"Web Workshop", 'demox', 'webworkshop'
"A Story about Me: In the Backyard", 'newsweek', 'ID62'
"Amazing Animation", 'newsweek', 'ID63'
"America's Funniest Home Videos: Lights! Camera! Interaction!", 'newsweek', 'ID64'
"American Greetings CreateACard Plus", 'newsweek', 'ID65'
"Awesome Animated Monster Maker", 'newsweek', 'monstermaker'
"Awesome Animated Monster Maker: Ultra Edition", 'newsweek', 'ID66'
"Awesome Iron-Ons Kit", 'newsweek', 'ID67'
"Baby Felix Creativity Center", 'newsweek', 'ID68'
"Baby-Sitters Club Friendship Kit", 'newsweek', 'ID69'
"Barbie Fashion Designer", 'newsweek', 'ID70'
"Barbie Print 'n Play", 'newsweek', 'ID71'
"Barbie Screen Styler", 'newsweek', 'ID72'
"Batman and Robin Cartoon Maker", 'newsweek', 'ID73'
"Beethoven Lives Upstairs", 'newsweek', 'ID74'
"Betty Crocker's Cooking with Kids", 'newsweek', 'ID75'
"Big Job", 'newsweek', 'ID76'
"Book Workshop", 'newsweek', 'ID77'
"Build-A-Book with Roberto", 'newsweek', 'ID78'
"Children's Songbook", 'newsweek', 'ID79'
"Click Art", 'newsweek', 'ID80'
"Comic Creator", 'newsweek', 'ID81'
"Cool Crafts", 'newsweek', 'ID82'
"Cool Paper Toys", 'newsweek', 'ID83'
"Crayola Art Studio 2", 'newsweek', 'ID84'
"Crayola Magic 3D Coloring Book", 'newsweek', 'magic3d'
"Crayola Magic Wardrobe: Paper Dolls", 'newsweek', 'magicwardobe'
"Create-A-Book Kit", 'newsweek', 'ID85'
"Creative Writer", 'newsweek', 'creativewriter'
"Creative Writer 2", 'newsweek', 'ID86'
"Dabbler 2", 'newsweek', 'ID87'
"Director's Lab", 'newsweek', 'ID88'
"Disney's Magic Artist", 'newsweek', 'ID89'
"Disney's Print Studio, Hercules", 'newsweek', 'ID90'
"Dr. Health'nstein's Body Fun", 'newsweek', 'ID91'
"Drawing Discoveries", 'newsweek', 'ID92'
"Drawing Discoveries", 'newsweek', 'ID93'
"Elroy's Costume Closet", 'newsweek', 'ID94'
"Eureka! I Can Draw", 'newsweek', 'ID95'
"Family Album Creator", 'newsweek', 'ID96'
"Fashionation", 'newsweek', 'ID97'
"Fine Artist", 'newsweek', 'ID98'
"Fisher-Price Learning in Toyland", 'newsweek', 'toyland'
"Frame-It", 'newsweek', 'ID99'
"Greatest Paper Airplanes", 'newsweek', 'ID100'
"Green Bear", 'newsweek', 'ID101'
"Gryphon Bricks", 'newsweek', 'gryphonbricks'
"Hallmark Connections Card Studio", 'newsweek', 'ID102'
"Hello Kitty Creativity Center", 'newsweek', 'ID103'
"Hollywood", 'newsweek', 'ID104'
"Hollywood High", 'newsweek', 'ID105'
"How to Draw Cartoons", 'newsweek', 'ID106'
"How to Draw the Marvel Way", 'newsweek', 'ID107'
"Hyperstudio", 'newsweek', 'hyperstudio'
"I Can Do Magic!", 'newsweek', 'ID108'
"Imagination Express -- Destination: Rain Forest", 'newsweek', 'ID109'
"Imagination Express, Destination: Ocean", 'newsweek', 'ID110'
"Inside Magic", 'newsweek', 'ID111'
"Invention Studio", 'newsweek', 'ID112'
"JAM-boree", 'newsweek', 'ID113'
"Jungle Kids", 'newsweek', 'ID114'
"Kai's Power Goo", 'newsweek', 'ID115'
"Kid Pix Studio", 'newsweek', 'ID116'
"Kid Riffs", 'newsweek', 'ID117'
"KidDesk -- Family Edition", 'newsweek', 'ID118'
"KidWorks Deluxe", 'newsweek', 'ID119'
"Launch Pad", 'newsweek', 'ID120'
"Learn the Art of Magic", 'newsweek', 'ID121'
"Magic: An Insider's View", 'newsweek', 'ID122'
"Make Me a World", 'newsweek', 'ID123'
"Make Your Own 3-D Greeting", 'newsweek', 'ID124'
"Make Your Own Magnet Kit", 'newsweek', 'ID125'
"Making Music", 'newsweek', 'ID126'
"Microsoft 3D Moviemaker", 'newsweek', '3dmovie'
"Mighty Morphin Power Rangers Coloring Book", 'newsweek', 'ID127'
"Mighty Morphin Power Rangers Create-A-Movie", 'newsweek', 'ID128'
"Morph Movies", 'newsweek', 'ID129'
"Multimedia Cartoon Studio", 'newsweek', 'ID130'
"Muppet Calendar", 'newsweek', 'ID131'
"My Make Believe Treasure Island", 'newsweek', 'ID132'
"My Very First Art Studio", 'newsweek', 'ID133'
"Net Explorations with Web Workshop", 'newsweek', 'ID134'
"On the Brink", 'newsweek', 'ID135'
"Opening Night", 'newsweek', 'ID136'
"Orly's Draw-A-Story", 'newsweek', 'ID137'
"PC Karaoke Singalong with Family Fun", 'newsweek', 'ID138'
"Paint 'n' Play", 'newsweek', 'ID139'
"Paint, Write & Play!", 'newsweek', 'ID140'
"Paper Planes", 'newsweek', 'ID141'
"Party-Fun Kit", 'newsweek', 'ID142'
"Piano Discovery for Kids", 'newsweek', 'ID143'
"Pinwheels Kit", 'newsweek', 'ID144'
"Power Rangers Colorforms Computer Fun Set", 'newsweek', 'colorforms'
"Print Artist", 'newsweek', 'ID145'
"Print Artist 4.0", 'newsweek', 'ID146'
