@relation "vauniv"

@attribute attr0 string
@attribute relation {'vauniv'}
@attribute class {'ID3', 'ID4', 'ID5', 'ID6', 'ID7', 'ID8', 'ID9', 'ID20', 'ID21', 'ID40', 'ID22', 'ID41', 'ID23', 'ID42', 'ID24', 'ID43', 'ID25', 'ID44', 'ID26', 'ID45', 'ID27', 'ID46', 'ID28', 'ID47', 'ID29', 'ID48', 'ID49', 'ID10', 'ID11', 'ID12', 'ID30', 'ID13', 'ID31', 'ID50', 'ID14', 'ID32', 'ID51', 'ID15', 'ID33', 'ID52', 'ID16', 'ID34', 'ID53', 'ID17', 'ID35', 'ID54', 'ID18', 'ID36', 'ID55', 'ID19', 'ID37', 'ID56', 'ID38', 'ID57', 'ID39', 'ID1', 'ID2'}

@data
"National Radio Astronomy Observatory Charlottesville", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlottesville", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charolottesville", 'vauniv', 'ID1'
"Natitonal Radio Astronomy Observatory, Charlottesville", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlotsville", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlottesvile", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlottsville", 'vauniv', 'ID1'
"National Astronomy Observatory, Charlottesville", 'vauniv', 'ID1'
"Nationa Radio Astronomy Observatory, Charlottesville", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlottesvill", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlotesville", 'vauniv', 'ID1'
"National Radio Astronomy Laboratory, Charlottesville", 'vauniv', 'ID1'
"National Radio Astronomy Observatory, Charlottesville, Virginia", 'vauniv', 'ID1'
"Virginia University, Charlottesville", 'vauniv', 'ID2'
"Virginia, University, Charlottesville", 'vauniv', 'ID2'
"University of Virginia", 'vauniv', 'ID2'
"University of Virginia, Virginia", 'vauniv', 'ID2'
"University of Virginia, Charlottsville", 'vauniv', 'ID2'
"University of Virgina, Charlottesville", 'vauniv', 'ID2'
"University of Virginia, Charlottesville", 'vauniv', 'ID2'
"University of Virginia, Charlottesville, Virginia", 'vauniv', 'ID2'
